PARAMETER,V7_REFERENCE,CURRENT_VALUE,UNIT,SOURCE,SOURCE_REVISION,STATUS,EVIDENCE_CLASS,CONFIDENCE,ENGINEERING_PURPOSE,MISSING_INFORMATION,DEPENDENCY,RISK,NEXT_REQUIRED_EVIDENCE
hinge pivot location,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
pivot axis,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
end-stop locations,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
torso support geometry,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
head-support envelope,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
link centre positions,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Left seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
rail width,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
rail height,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
runner dimensions,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
capture/retention geometry,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
parallelism,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
alignment,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
mounting-hole locations,150L,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Left seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
total length,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
total width,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
total height,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
folded/rotated envelope,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
section geometry,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
wall thickness,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
plate thickness,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
hole size,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
edge distance,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
radii,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
offsets,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
interface locations,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
reference datums,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,MISSING,RELEASED_FEATURE_NOT_FOUND,None,Right seatback rotation-control link engineering definition,No authoritative released value; any current model primitive is not automatically the required feature dimension.,Released CAD + PMI/GD&T + independent metrology,High,Controlled feature definition
front edge position,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
effective cushion length,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
pelvic ramp geometry,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
anti-submarining geometry,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
cushion thickness,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
structural pan thickness,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
trim/foam envelope,150R,,mm / deg / datum,Current source set,V7-R0/R1/RC-005,NOT_APPLICABLE,FEATURE_NOT_APPLICABLE,None,Right seatback rotation-control link engineering definition,Parameter does not apply to this reference item.,Reference-role applicability control,Low,No evidence required
